SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
100020,0,Cash loans,M,N,N,0,108000.0,509602.5,26149.5,387000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018634,-12931,-1317,-6392.0,-3866,,1,1,0,1,0,0,Drivers,2.0,2,2,THURSDAY,12,0,0,0,1,1,0,Government,,0.2363778398884225,0.0621030378372968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
100329,0,Cash loans,F,Y,Y,0,135000.0,247275.0,17716.5,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.006852,-19997,-645,-2391.0,-3399,19.0,1,1,1,1,1,0,,2.0,3,3,FRIDAY,8,0,1,1,0,1,1,Business Entity Type 3,,0.0813107269975509,0.6296742509538716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-1477.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
100428,0,Cash loans,F,Y,Y,0,90000.0,1224990.0,35946.0,877500.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.007305,-19998,-2082,-393.0,-3499,18.0,1,1,0,1,0,0,Drivers,2.0,3,3,WEDNESDAY,6,0,0,0,0,0,0,Self-employed,0.8519054529826264,0.5612876560786817,0.5370699579791587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-2334.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.0,0.0,1.0
100588,0,Cash loans,F,N,Y,1,157500.0,679500.0,19998.0,679500.0,Family,Commercial associate,Higher education,Single / not married,House / apartment,0.0072739999999999,-11816,-1540,-5304.0,-4009,,1,1,0,1,0,0,Laborers,2.0,2,2,WEDNESDAY,15,0,0,0,0,0,0,Self-employed,,0.7710575788996519,0.5989262182569273,0.0928,0.0764,0.9876,0.83,0.0622,0.08,0.069,0.3333,0.375,,0.0756,0.0957,0.0,0.0,0.0945,0.0792,0.9876,0.8367,0.0628,0.0806,0.069,0.3333,0.375,,0.0826,0.0997,0.0,0.0,0.0937,0.0764,0.9876,0.8323,0.0626,0.08,0.069,0.3333,0.375,,0.077,0.0974,0.0,0.0,reg oper account,block of flats,0.1093,"Stone, brick",No,8.0,1.0,7.0,1.0,-490.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
100814,0,Cash loans,F,N,Y,0,126000.0,942300.0,27679.5,675000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.04622,-21704,-4110,-9701.0,-4831,,1,1,0,1,1,0,Core staff,2.0,1,1,WEDNESDAY,12,0,0,0,0,1,1,Police,0.8847804287716508,0.7704896298341007,0.7958031328748403,0.0412,,0.9866,,,,,,,,,0.0439,,,0.042,,0.9866,,,,,,,,,0.0457,,,0.0416,,0.9866,,,,,,,,,0.0447,,,,block of flats,0.0345,"Stone, brick",No,1.0,0.0,1.0,0.0,-2399.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
100981,0,Cash loans,F,N,N,0,67500.0,312768.0,13774.5,270000.0,Unaccompanied,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,0.0196889999999999,-21516,365243,-10609.0,-4795,,1,0,0,1,1,0,,2.0,2,2,TUESDAY,9,0,0,0,0,0,0,XNA,,0.2776667317418485,0.6956219298394389,0.0742,0.0738,0.9851,0.7959999999999999,0.0138,0.08,0.069,0.3333,0.375,0.0246,0.0605,0.0721,0.0,0.0,0.0756,0.0765,0.9851,0.804,0.0139,0.0806,0.069,0.3333,0.375,0.0252,0.0661,0.0751,0.0,0.0,0.0749,0.0738,0.9851,0.7987,0.0138,0.08,0.069,0.3333,0.375,0.025,0.0616,0.0734,0.0,0.0,reg oper account,block of flats,0.0567,Panel,No,3.0,0.0,3.0,0.0,-4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
101007,0,Cash loans,F,Y,N,0,202500.0,728460.0,40675.5,675000.0,Family,Working,Higher education,Separated,House / apartment,0.018634,-15140,-683,-6178.0,-4232,22.0,1,1,1,1,0,0,Private service staff,1.0,2,2,SUNDAY,12,0,0,0,0,0,0,Business Entity Type 3,,0.2858978721410488,0.1351060157401717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-462.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
101275,0,Cash loans,M,N,Y,0,112500.0,900000.0,26316.0,900000.0,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,0.018029,-18880,-4075,-386.0,-2378,,1,1,1,1,0,0,Laborers,2.0,3,3,WEDNESDAY,7,0,0,0,0,0,0,Business Entity Type 2,0.3005399880843859,0.1915258625230554,0.4884551844437485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,4.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
101475,0,Cash loans,F,N,N,0,67500.0,95940.0,9472.5,90000.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.035792,-21991,365243,-7720.0,-4780,,1,0,0,1,1,0,,1.0,2,2,TUESDAY,9,0,0,0,0,0,0,XNA,,0.5697445889788223,0.6023863442690867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1833.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
101480,0,Cash loans,M,Y,Y,0,89100.0,560664.0,18085.5,468000.0,"Spouse, partner",Working,Secondary / secondary special,Civil marriage,House / apartment,0.030755,-18068,-1115,-77.0,-859,14.0,1,1,1,1,0,0,Drivers,2.0,2,2,WEDNESDAY,15,0,0,0,0,1,1,Self-employed,0.4827836300837812,0.6573897028932859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
